ac07_id,ac08_id,pc01_state_id,pc01_state_name,adr_district_name,adr_con_name,ac_id,con_id_joint,year,bye_election,winner_net_assets,winner_assets,winner_liabilities,winner_age,winner_any_crim,winner_num_crim,winner_hs_grad,winner_ed,mean_net_assets,mean_assets,mean_liabilities,mean_age,mean_any_crim,mean_num_crim,mean_hs_grad,mean_ed
,2008-01-001,01,jammu kashmir,kupwara,karnah,2008-01-001,2008-01-0001,2008.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,,,102500.0,102500.0,0.0,50.0,0.0,0.0,0.0,0.0
,2008-01-001,01,jammu kashmir,kupwara,karnah,2008-01-001,2008-01-0001,2014.0,0.0,7059696.0,7274300.0,214604.0,59.0,0.0,0.0,1.0,14.0,3728853.2,3841796.5,112943.43,55.5,0.0,0.0,0.71428573,12.0
,2008-01-002,01,jammu kashmir,kupwara,kupwara,2008-01-002,2008-01-0002,2008.0,0.0,4944000.0,5444000.0,500000.0,48.0,0.0,0.0,1.0,14.0,3720896.5,3908117.8,187221.33,43.666668,0.06666667,0.06666667,0.6666667,11.5
,2008-01-002,01,jammu kashmir,kupwara,kupwara,2008-01-002,2008-01-0002,2014.0,0.0,1655000.0,1655000.0,0.0,52.0,0.0,0.0,1.0,14.0,6259641.0,6526458.5,266817.1,45.81818,0.0,0.0,0.5,10.4
,2008-01-003,01,jammu kashmir,jammu kashmir,lolab,2008-01-003,2008-01-0003,2008.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,,,1039962.4,1109880.4,69918.0,47.8,0.2,0.2,0.33333334,9.333333
,2008-01-003,01,jammu kashmir,kupwara,lolab,2008-01-003,2008-01-0003,2014.0,0.0,10393517.0,10993517.0,600000.0,61.0,0.0,0.0,1.0,14.0,4959067.0,5137473.0,178406.22,45.88889,0.11111111,0.11111111,0.16666667,10.0
,2008-01-004,01,jammu kashmir,kupwara,handwara,2008-01-004,2008-01-0004,2008.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,1.0,14.0,7468924.0,7526424.0,57500.0,43.5,0.0,0.0,0.5714286,10.571428
,2008-01-004,01,jammu kashmir,kupwara,handwara,2008-01-004,2008-01-0004,2014.0,0.0,138572900.0,139845890.0,1272996.0,47.0,0.0,0.0,1.0,12.0,15289045.0,15946886.0,657840.44,50.909092,0.083333336,0.33333334,0.6666667,11.333333
,2008-01-005,01,jammu kashmir,kupwara,langate,2008-01-005,2008-01-0005,2008.0,0.0,1100500.0,1100500.0,0.0,43.0,0.0,0.0,,,3528200.0,3539800.0,11600.0,52.8,0.0,0.0,0.71428573,12.0
,2008-01-005,01,jammu kashmir,kupwara,langate,2008-01-005,2008-01-0005,2014.0,0.0,1418000.0,2301000.0,883000.0,46.0,0.0,0.0,1.0,12.0,7393472.0,7967972.5,574500.56,47.909092,0.09090909,0.18181819,0.8181818,12.0
,2008-01-006,01,jammu kashmir,baramulla,uri,2008-01-006,2008-01-0006,2008.0,0.0,11010730.0,11190000.0,179270.0,63.0,0.0,0.0,1.0,14.0,3984813.0,4203664.0,218851.08,45.0,0.0,0.0,0.71428573,12.0
,2008-01-006,01,jammu kashmir,baramulla,uri,2008-01-006,2008-01-0006,2014.0,0.0,35737050.0,36301290.0,564242.0,71.0,0.0,0.0,1.0,14.0,71846960.0,72065610.0,218644.2,57.0,0.0,0.0,0.8,12.8
,2008-01-007,01,jammu kashmir,baramulla,rafiabad,2008-01-007,2008-01-0007,2008.0,0.0,11200000.0,11200000.0,0.0,31.0,0.0,0.0,1.0,12.0,8878933.0,8878933.0,0.0,47.11111,0.22222222,0.22222222,0.33333334,11.0
,2008-01-007,01,jammu kashmir,baramulla,rafiabad,2008-01-007,2008-01-0007,2014.0,0.0,220000.0,220000.0,0.0,27.0,0.0,0.0,1.0,14.0,15314524.0,15592695.0,278171.34,45.18182,0.083333336,0.083333336,0.5833333,11.166667
,2008-01-008,01,jammu kashmir,baramulla,sopore,2008-01-008,2008-01-0008,2008.0,0.0,50000.0,90000.0,40000.0,60.0,0.0,0.0,,,4365110.5,4426163.0,61052.633,46.157894,0.0,0.0,0.5714286,10.857142
,2008-01-008,01,jammu kashmir,baramulla,sopore,2008-01-008,2008-01-0008,2014.0,0.0,47240000.0,47765000.0,525000.0,65.0,0.0,0.0,0.0,8.0,10105084.0,11322292.0,1217207.8,47.8,0.06666667,0.06666667,0.6666667,11.333333
,2008-01-009,01,jammu kashmir,bandipur,gurez,2008-01-009,2008-01-0009,2008.0,0.0,873500.0,1273500.0,400000.0,35.0,0.0,0.0,1.0,12.0,7280875.0,7405875.0,125000.0,38.0,0.0,0.0,1.0,13.0
,2008-01-009,01,jammu kashmir,bandipur,gurez,2008-01-009,2008-01-0009,2014.0,0.0,20691000.0,21191000.0,500000.0,49.0,0.0,0.0,1.0,12.0,14614470.0,14739470.0,125000.0,48.25,0.0,0.0,0.75,12.0
,2008-01-010,01,jammu kashmir,bandipur,bandipora,2008-01-010,2008-01-0010,2008.0,0.0,3600000.0,4042000.0,442000.0,60.0,0.0,0.0,1.0,14.0,5319450.5,5356450.5,37000.0,46.25,0.0,0.0,0.71428573,11.428572
,2008-01-010,01,jammu kashmir,bandipur,bandipora,2008-01-010,2008-01-0010,2014.0,0.0,44215230.0,45623230.0,1408000.0,53.0,1.0,1.0,1.0,12.0,14214862.0,14487079.0,272217.94,48.46154,0.07692308,0.07692308,0.5,10.75
